"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","asian_subgroup","asnvtn","Asn1Rc","197","156.320184237353","48.2372932088788","0.0288941038427691","0.0226770732870363","false","14229","1262","5.4","0.012","0.001","true","-14032","1271.6446044394636","true","1.6894103842769097","2.2699111279202433","false"
"","demographic","demographic__special_variable","mdpop0t4","MdAge","7872","712.632443830619","5.50319121004938","0","0","true","551869","0","","0","0","false","-543997","712.632443830619","true","0","0",""
"","demographic","demographic__special_variable","mdpop10t14","MdAge","7044","604.669331122391","5.2183438458253","0","0","true","464704","0","","0","0","false","-457660","604.669331122391","true","0","0",""
"","demographic","demographic__special_variable","mdpop15t17","MdAge","4309","496.400040290087","7.00308522686435","0","0","true","273431","0","","0","0","false","-269122","496.400040290087","true","0","0",""
"","demographic","demographic__special_variable","mdpop18t19","MdAge","2619","363.589053740621","8.43935778501089","0","0","true","182243","0","","0","0","false","-179624","363.589053740621","true","0","0",""
"","demographic","demographic__special_variable","mdpop20","MdAge","1671","288.63991407981","10.5005980467736","0","0","true","105547","0","","0","0","false","-103876","288.63991407981","true","0","0",""
"","demographic","demographic__special_variable","mdpop21","MdAge","1835","293.552380334413","9.72486621450231","0","0","true","105415","0","","0","0","false","-103580","293.552380334413","true","0","0",""
"","demographic","demographic__special_variable","mdpop22t24","MdAge","10471","798.737128221795","4.63713575820087","0","0","true","360439","0","","0","0","false","-349968","798.737128221795","true","0","0",""
"","demographic","demographic__special_variable","mdpop25t29","MdAge","19635","1018.79929328597","3.15421888147437","0","0","true","785805","0","","0","0","false","-766170","1018.79929328597","true","0","0",""
"","demographic","demographic__special_variable","mdpop30t34","MdAge","13903","813.395967533648","3.55653911931998","0","0","true","718474","0","","0","0","false","-704571","813.395967533648","true","0","0",""
"","demographic","demographic__special_variable","mdpop35t39","MdAge","9938","660.803299023242","4.04210236611821","0","0","true","610524","0","","0","0","false","-600586","660.803299023242","true","0","0",""
"","demographic","demographic__special_variable","mdpop40t44","MdAge","7728","600.354062199965","4.72252687263592","0","0","true","545892","0","","0","0","false","-538164","600.354062199965","true","0","0",""
