"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","social","ancestry","czech","Pop_5","114","51.7397332811061","27.5901099989901","0.000877085000307749","0.000397655653792018","false","12010","967","4.9","0.001","0","true","-11896","968.3831886190508","true","0","0.0397655653792018",""
"","social","ancestry","czechslv","Pop_5","15","17","68.8956433637285","0.000115405921093125","0.000130771478151977","false","3960","578","8.9","0","0","true","-3945","578.2499459576283","true","0.0115405921093125","0.013077147815197702","false"
"","social","ancestry","danish","Pop_5","137","78.7464284904401","34.941729412482","0.00105404074598387","0.00060545914319714","false","8248","761","5.6","0.001","0","true","-8111","765.063396065973","true","0.0054040745983869876","0.060545914319714005","false"
"","social","ancestry","dchwind","Pop_5","0","0","","0","0","false","771","202","15.9","0","0","true","-771","202","true","0","0",""
"","social","ancestry","dutch","Pop_5","424","145.244621242922","20.8241987215293","0.003262140702899","0.00111542293932881","false","21578","1383","3.9","0.003","0","true","-21154","1390.6059830160375","true","0.026214070289900027","0.11154229393288101","false"
"","social","ancestry","eeurpn","Pop_5","230","101.950968607463","26.9462055259584","0.00176955745676125","0.000783524098351364","false","60768","2654","2.7","0.007","0","true","-60538","2655.9574544785164","true","-0.523044254323875","0.0783524098351364","true"
"","social","ancestry","egyptn","Pop_5","46","38.2099463490856","50.4955019810831","0.00035391149135225","0.000293885301552573","false","25608","2268","5.4","0.003","0","true","-25562","2268.321846652278","true","-0.264608850864775","0.029388530155257296","true"
"","social","ancestry","english","Pop_5","1553","267.48644825486","10.4704277926578","0.0119483596971749","0.00204299599548826","true","137212","3470","1.5","0.016","0","true","-135659","3480.2943841002875","true","-0.40516403028251013","0.204299599548826","false"
"","social","ancestry","estonian","Pop_5","0","0","","0","0","false","1050","303","17.5","0","0","true","-1050","303","true","0","0",""
"","social","ancestry","ethpian","Pop_5","59","61","62.8509607954253","0.000453929956299625","0.00046922299028572","false","3580","762","12.9","0","0","true","-3521","764.4377018436493","true","0.0453929956299625","0.046922299028572","false"
"","social","ancestry","european","Pop_5","1019","262.680414191846","15.670671478495","0.00783990890625962","0.00201444107607924","true","69740","2897","2.5","0.008","0","true","-68721","2908.8846659845417","true","0","0.20144410760792403",""
"","social","ancestry","finnish","Pop_5","61","39.2045915678253","39.0698007552198","0.000469317412445375","0.000301472397224687","false","3975","573","8.8","0","0","true","-3914","574.3396207819899","true","0.0469317412445375","0.030147239722468702","false"
"","social","ancestry","frcandian","Pop_5","123","53.8144961882948","26.5967312567252","0.000946328552963624","0.000413568716379219","false","10685","757","4.3","0.001","0","true","-10562","758.9104031438758","true","0","0.0413568716379219",""
"","social","ancestry","frnotbsq","Pop_5","989","208.751047901561","12.8311762457895","0.00760909706407337","0.00159830288711946","true","65549","2569","2.4","0.008","0","true","-64560","2577.467361578028","true","0","0.159830288711946",""
"","social","ancestry","german","Pop_5","3265","372.907495231726","6.94307768646418","0.0251200221579368","0.002821356811237","true","248646","3988","1","0.029","0","true","-245381","4005.3968592387946","true","-0.38799778420632025","0.2821356811237","false"
"","social","ancestry","germrus","Pop_5","0","0","","0","0","false","252","144","34.7","0","0","false","-252","144","false","0","0",""
"","social","ancestry","ghanaian","Pop_5","0","0","","0","0","false","19748","1833","5.6","0.002","0","true","-19748","1833","true","-0.2","0","true"
"","social","ancestry","greek","Pop_5","192","86.278618440492","27.3171917554749","0.001477195789992","0.000663096956313007","false","62903","2414","2.3","0.007","0","true","-62711","2415.5413471932125","true","-0.5522804210008001","0.06630969563130071","true"
"","social","ancestry","guyanese","Pop_5","808","300.980065785095","22.6443818490697","0.00621653228288299","0.00231206726423409","false","124851","4319","2.1","0.015","0.001","true","-124043","4329.474563962699","true","-0.8783467717117011","0.25190583626313445","true"
"","social","ancestry","haitian","Pop_5","590","213.845738793178","22.0334592543586","0.00453929956299625","0.00164257561263003","false","121530","4510","2.3","0.014","0.001","true","-120940","4515.066998395483","true","-0.9460700437003751","0.19230326682630533","true"
"","social","ancestry","hgrian","Pop_5","412","130.919822792425","19.3171161201088","0.0031698159660245","0.00100511413911436","true","53955","2765","3.1","0.006","0","true","-53543","2768.097722263432","true","-0.28301840339754997","0.100511413911436","false"
"","social","ancestry","icelndr","Pop_5","0","0","","0","0","false","482","220","27.7","0","0","false","-482","220","false","0","0",""
"","social","ancestry","iranian","Pop_5","52","45.9673797382448","53.7378767105972","0.0004000738597895","0.000353563184093808","false","12279","1386","6.9","0.001","0","true","-12227","1386.7620560139364","true","-0.05999261402105001","0.0353563184093808","false"
"","social","ancestry","iraqi","Pop_5","8","16","121.580547112462","0.0000615498245829999","0.000123093031151463","false","1405","309","13.4","0","0","true","-1397","309.4139621930465","true","0.006154982458299991","0.012309303115146301","false"
"","social","ancestry","irish","Pop_5","4038","418.057412325149","6.29366628465971","0.0310672739582692","0.00315123075652821","true","364226","5525","0.9","0.043","0.001","true","-360188","5540.793896184914","true","-1.19327260417308","0.330609365881993","true"
"","social","ancestry","israeli","Pop_5","43","53.1413210223457","75.1273358625089","0.000330830307133625","0.000408797304046929","false","21959","1842","5.1","0.003","0","true","-21916","1842.7663986517662","true","-0.2669169692866375","0.0408797304046929","true"
"","social","ancestry","italian","Pop_5","3505","488.001024589088","8.46382761212316","0.0269665168954268","0.00371266392085126","true","536472","6400","0.7","0.064","0.001","true","-532967","6418.5781135700145","true","-3.7033483104573204","0.3844980284629643","true"
